"School Year","School ID","School Name","Sub Group Category","Sub Group","Number of Students","Average Attendance Rate","Chronic Absence Rate"
"2023-2024",204,"Allegheny 6-8","Has 504 Plan","No","n<11","n<11","n<11"
"2023-2024",204,"Allegheny 6-8","Has 504 Plan","Yes","n<11","n<11","n<11"
"2023-2024",204,"Allegheny 6-8","Homelessness Status","Experiencing Homelessness","n<11","n<11","n<11"
"2023-2024",204,"Allegheny 6-8","Homelessness Status","Not Experiencing Homelessness","n<11","n<11","n<11"
"2023-2024",204,"Allegheny 6-8","IEP Status","Gifted","n<11","n<11","n<11"
"2023-2024",204,"Allegheny 6-8","IEP Status","IEP","n<11","n<11","n<11"
"2023-2024",204,"Allegheny 6-8","IEP Status","Not IEP or Gifted","137","0.934741703729046","0.204379562043796"
"2023-2024",204,"Allegheny 6-8","Race","African American","135","0.931305625162015","0.222222222222222"
"2023-2024",204,"Allegheny 6-8","Race","Asian (not Pacific Islander)","n<11","n<11","n<11"
"2023-2024",204,"Allegheny 6-8","Race","Hispanic","n<11","n<11","n<11"
"2023-2024",204,"Allegheny 6-8","Race","Multi-Racial","15","0.919041718298224","0.266666666666667"
"2023-2024",204,"Allegheny 6-8","Race","White","17","0.904526166902405","0.470588235294118"
"2023-2024",204,"Allegheny 6-8",,"Total","183","0.929996781461217","0.245901639344262"
"2023-2024",102,"Allegheny K-5","Economically Disadvantaged","Econ. Disadv.","365","0.923995690799232","0.243835616438356"
"2023-2024",102,"Allegheny K-5","Economically Disadvantaged","Not Econ. Disadv.","151","0.956124655185268","0.0264900662251656"
"2023-2024",102,"Allegheny K-5","ELL Status","ELL","13","0.973076923076923","0"
"2023-2024",102,"Allegheny K-5","ELL Status","Not in ELL","503","0.93243350087536","0.184890656063618"
"2023-2024",102,"Allegheny K-5","Foster Care Status","In Foster Care","n<11","n<11","n<11"
"2023-2024",102,"Allegheny K-5","Foster Care Status","Not In Foster Care","n<11","n<11","n<11"
"2023-2024",102,"Allegheny K-5","Gender","Female","271","0.934474653131696","0.158671586715867"
"2023-2024",102,"Allegheny K-5","Gender","Male","245","0.932362973692818","0.204081632653061"
"2023-2024",102,"Allegheny K-5","Grade","Grade 01","101","0.935421070196907","0.138613861386139"
"2023-2024",102,"Allegheny K-5","Grade","Grade 02","80","0.934338235294118","0.1875"
"2023-2024",102,"Allegheny K-5","Grade","Grade 03","80","0.931401371972561","0.175"
"2023-2024",102,"Allegheny K-5","Grade","Grade 04","84","0.933411295315402","0.19047619047619"
"2023-2024",102,"Allegheny K-5","Grade","Grade 05","69","0.937343560758983","0.159420289855072"
"2023-2024",102,"Allegheny K-5","Grade","Grade K","102","0.929957432693902","0.225490196078431"
"2023-2024",102,"Allegheny K-5","Has 504 Plan","No","491","0.933036179450072","0.185336048879837"
"2023-2024",102,"Allegheny K-5","Has 504 Plan","Yes","25","0.942","0.08"
"2023-2024",102,"Allegheny K-5","Homelessness Status","Experiencing Homelessness","12","0.880540540540541","0.583333333333333"
"2023-2024",102,"Allegheny K-5","Homelessness Status","Not Experiencing Homelessness","504","0.934580174108397","0.170634920634921"
"2023-2024",102,"Allegheny K-5","IEP Status","Gifted","30","0.956538387899674","0.0333333333333333"
"2023-2024",102,"Allegheny K-5","IEP Status","IEP","109","0.912351856728997","0.330275229357798"
"2023-2024",102,"Allegheny K-5","IEP Status","Not IEP or Gifted","377","0.937690311548442","0.148541114058355"
"2023-2024",102,"Allegheny K-5","Race","African American","264","0.92165042038602","0.257575757575758"
"2023-2024",102,"Allegheny K-5","Race","Asian (not Pacific Islander)","18","0.977777777777778","0"
"2023-2024",102,"Allegheny K-5","Race","Hispanic","n<11","n<11","n<11"
"2023-2024",102,"Allegheny K-5","Race","Multi-Racial","48","0.92565011820331","0.1875"
"2023-2024",102,"Allegheny K-5","Race","Native Hawaiian or other Pacific Islander","n<11","n<11","n<11"
"2023-2024",102,"Allegheny K-5","Race","White","174","0.94783400546377","0.0804597701149425"
"2023-2024",102,"Allegheny K-5",,"Total","516","0.933480055020633","0.180232558139535"
"2023-2024",101,"Arlington PreK-8","Economically Disadvantaged","Econ. Disadv.","416","0.841607488702389","0.584134615384615"
"2023-2024",101,"Arlington PreK-8","Economically Disadvantaged","Not Econ. Disadv.","35","0.885285446261056","0.428571428571429"
"2023-2024",101,"Arlington PreK-8","ELL Status","ELL","13","0.886222222222222","0.615384615384615"
"2023-2024",101,"Arlington PreK-8","ELL Status","Not in ELL","438","0.843354087290524","0.570776255707763"
"2023-2024",101,"Arlington PreK-8","Foster Care Status","In Foster Care","14","0.84634266077565","0.571428571428571"
"2023-2024",101,"Arlington PreK-8","Foster Care Status","Not In Foster Care","437","0.844016086970183","0.5720823798627"
"2023-2024",101,"Arlington PreK-8","Gender","Female","212","0.845209320313255","0.575471698113208"
"2023-2024",101,"Arlington PreK-8","Gender","Male","239","0.84308464601004","0.569037656903766"
"2023-2024",101,"Arlington PreK-8","Grade","Grade 01","52","0.842279655400928","0.519230769230769"
"2023-2024",101,"Arlington PreK-8","Grade","Grade 02","66","0.82797144926037","0.636363636363636"
"2023-2024",101,"Arlington PreK-8","Grade","Grade 03","38","0.911804878048781","0.236842105263158"
"2023-2024",101,"Arlington PreK-8","Grade","Grade 04","45","0.822166469893743","0.622222222222222"
"2023-2024",101,"Arlington PreK-8","Grade","Grade 05","48","0.85881841876629","0.5"
"2023-2024",101,"Arlington PreK-8","Grade","Grade 06","45","0.837351235886482","0.6"
"2023-2024",101,"Arlington PreK-8","Grade","Grade 07","55","0.812838945642578","0.763636363636364"
"2023-2024",101,"Arlington PreK-8","Grade","Grade 08","36","0.864372838157655","0.527777777777778"
"2023-2024",101,"Arlington PreK-8","Grade","Grade K","66","0.849216171617162","0.606060606060606"
"2023-2024",101,"Arlington PreK-8","Has 504 Plan","No","n<11","n<11","n<11"
"2023-2024",101,"Arlington PreK-8","Has 504 Plan","Yes","n<11","n<11","n<11"
"2023-2024",101,"Arlington PreK-8","Homelessness Status","Experiencing Homelessness","45","0.761998685075608","0.755555555555556"
"2023-2024",101,"Arlington PreK-8","Homelessness Status","Not Experiencing Homelessness","406","0.852466992131797","0.551724137931034"
"2023-2024",101,"Arlington PreK-8","IEP Status","IEP","155","0.827586206896552","0.612903225806452"
"2023-2024",101,"Arlington PreK-8","IEP Status","Not IEP or Gifted","296","0.852873938602221","0.550675675675676"
"2023-2024",101,"Arlington PreK-8","Race","African American","308","0.83731581043409","0.613636363636364"
"2023-2024",101,"Arlington PreK-8","Race","American Indian","n<11","n<11","n<11"
"2023-2024",101,"Arlington PreK-8","Race","Asian (not Pacific Islander)","n<11","n<11","n<11"
"2023-2024",101,"Arlington PreK-8","Race","Hispanic","15","0.881597062872877","0.466666666666667"
"2023-2024",101,"Arlington PreK-8","Race","Multi-Racial","53","0.83297675082014","0.584905660377358"
"2023-2024",101,"Arlington PreK-8","Race","Native Hawaiian or other Pacific Islander","n<11","n<11","n<11"
"2023-2024",101,"Arlington PreK-8","Race","White","70","0.871089436878911","0.414285714285714"
"2023-2024",101,"Arlington PreK-8",,"Total","451","0.844088231264557","0.572062084257206"
"2023-2024",298,"Arsenal 6-8","Economically Disadvantaged","Econ. Disadv.","143","0.91484065958487","0.300699300699301"
"2023-2024",298,"Arsenal 6-8","Economically Disadvantaged","Not Econ. Disadv.","49","0.912752697978416","0.183673469387755"
"2023-2024",298,"Arsenal 6-8","ELL Status","ELL","87","0.92839375895078","0.160919540229885"
"2023-2024",298,"Arsenal 6-8","ELL Status","Not in ELL","105","0.902599456074885","0.361904761904762"
"2023-2024",298,"Arsenal 6-8","Foster Care Status","In Foster Care","n<11","n<11","n<11"
"2023-2024",298,"Arsenal 6-8","Foster Care Status","Not In Foster Care","n<11","n<11","n<11"
"2023-2024",298,"Arsenal 6-8","Gender","Female","85","0.917958903063173","0.235294117647059"
"2023-2024",298,"Arsenal 6-8","Gender","Male","107","0.911428035278664","0.299065420560748"
"2023-2024",298,"Arsenal 6-8","Grade","Grade 06","64","0.925408942202835","0.25"
"2023-2024",298,"Arsenal 6-8","Grade","Grade 07","63","0.913689320388349","0.285714285714286"
"2023-2024",298,"Arsenal 6-8","Grade","Grade 08","n<11","n<11","n<11"
"2023-2024",298,"Arsenal 6-8","Grade","Grade 09","n<11","n<11","n<11"
"2023-2024",298,"Arsenal 6-8","Has 504 Plan","No","n<11","n<11","n<11"
"2023-2024",298,"Arsenal 6-8","Has 504 Plan","Yes","n<11","n<11","n<11"
"2023-2024",298,"Arsenal 6-8","Homelessness Status","Experiencing Homelessness","13","0.904761904761905","0.153846153846154"
"2023-2024",298,"Arsenal 6-8","Homelessness Status","Not Experiencing Homelessness","179","0.91493390626707","0.279329608938547"
"2023-2024",298,"Arsenal 6-8","IEP Status","Gifted","n<11","n<11","n<11"
"2023-2024",298,"Arsenal 6-8","IEP Status","IEP","n<11","n<11","n<11"
"2023-2024",298,"Arsenal 6-8","IEP Status","Not IEP or Gifted","137","0.926302911671152","0.204379562043796"
"2023-2024",298,"Arsenal 6-8","Race","African American","89","0.911337951148378","0.348314606741573"
"2023-2024",298,"Arsenal 6-8","Race","Asian (not Pacific Islander)","n<11","n<11","n<11"
"2023-2024",298,"Arsenal 6-8","Race","Hispanic","49","0.916463327113535","0.183673469387755"
"2023-2024",298,"Arsenal 6-8","Race","Multi-Racial","n<11","n<11","n<11"
"2023-2024",298,"Arsenal 6-8","Race","White","29","0.896273291925466","0.344827586206897"
"2023-2024",298,"Arsenal 6-8",,"Total","192","0.914368250911342","0.270833333333333"
"2023-2024",108,"Arsenal PreK-5","Economically Disadvantaged","Econ. Disadv.","256","0.921599810111559","0.2734375"
"2023-2024",108,"Arsenal PreK-5","Economically Disadvantaged","Not Econ. Disadv.","53","0.921208246763625","0.264150943396226"
"2023-2024",108,"Arsenal PreK-5","ELL Status","ELL","146","0.943013339164662","0.157534246575342"
"2023-2024",108,"Arsenal PreK-5","ELL Status","Not in ELL","163","0.902319567432019","0.374233128834356"
"2023-2024",108,"Arsenal PreK-5","Foster Care Status","Not In Foster Care","309","0.921549176431686","0.271844660194175"
"2023-2024",108,"Arsenal PreK-5","Gender","Female","164","0.923622819055087","0.274390243902439"
"2023-2024",108,"Arsenal PreK-5","Gender","Male","145","0.919237828861113","0.268965517241379"
"2023-2024",108,"Arsenal PreK-5","Grade","Grade 01","40","0.905156987148202","0.35"
"2023-2024",108,"Arsenal PreK-5","Grade","Grade 02","58","0.926748883691261","0.189655172413793"
"2023-2024",108,"Arsenal PreK-5","Grade","Grade 03","48","0.923695308381655","0.166666666666667"
"2023-2024",108,"Arsenal PreK-5","Grade","Grade 04","56","0.925451891770518","0.285714285714286"
"2023-2024",108,"Arsenal PreK-5","Grade","Grade 05","49","0.929211585920249","0.224489795918367"
"2023-2024",108,"Arsenal PreK-5","Grade","Grade K","58","0.914814814814815","0.413793103448276"
"2023-2024",108,"Arsenal PreK-5","Has 504 Plan","No","n<11","n<11","n<11"
"2023-2024",108,"Arsenal PreK-5","Has 504 Plan","Yes","n<11","n<11","n<11"
"2023-2024",108,"Arsenal PreK-5","Homelessness Status","Experiencing Homelessness","16","0.921022727272727","0.125"
"2023-2024",108,"Arsenal PreK-5","Homelessness Status","Not Experiencing Homelessness","293","0.921569047976494","0.279863481228669"
"2023-2024",108,"Arsenal PreK-5","IEP Status","Gifted","n<11","n<11","n<11"
"2023-2024",108,"Arsenal PreK-5","IEP Status","IEP","n<11","n<11","n<11"
"2023-2024",108,"Arsenal PreK-5","IEP Status","Not IEP or Gifted","242","0.922746896200359","0.272727272727273"
"2023-2024",108,"Arsenal PreK-5","Race","African American","149","0.912310780296061","0.342281879194631"
"2023-2024",108,"Arsenal PreK-5","Race","Asian (not Pacific Islander)","28","0.958428972200969","0.107142857142857"
"2023-2024",108,"Arsenal PreK-5","Race","Hispanic","84","0.928814632987568","0.214285714285714"
"2023-2024",108,"Arsenal PreK-5","Race","Multi-Racial","n<11","n<11","n<11"
"2023-2024",108,"Arsenal PreK-5","Race","Native Hawaiian or other Pacific Islander","n<11","n<11","n<11"
"2023-2024",108,"Arsenal PreK-5","Race","White","28","0.927681352914998","0.178571428571429"
"2023-2024",108,"Arsenal PreK-5",,"Total","309","0.921549176431686","0.271844660194175"
"2023-2024",103,"Banksville K-5","Economically Disadvantaged","Econ. Disadv.","247","0.934925311417791","0.178137651821862"
"2023-2024",103,"Banksville K-5","Economically Disadvantaged","Not Econ. Disadv.","108","0.942591545757176","0.157407407407407"
"2023-2024",103,"Banksville K-5","ELL Status","ELL","256","0.943850473040535","0.15234375"
"2023-2024",103,"Banksville K-5","ELL Status","Not in ELL","99","0.920445810914681","0.222222222222222"
"2023-2024",103,"Banksville K-5","Foster Care Status","Not In Foster Care","355","0.937160120845921","0.171830985915493"
"2023-2024",103,"Banksville K-5","Gender","Female","166","0.935855828337979","0.174698795180723"
"2023-2024",103,"Banksville K-5","Gender","Male","189","0.938361947649873","0.169312169312169"
"2023-2024",103,"Banksville K-5","Grade","Grade 01","69","0.925824175824176","0.188405797101449"
"2023-2024",103,"Banksville K-5","Grade","Grade 02","55","0.945949214026602","0.145454545454545"
"2023-2024",103,"Banksville K-5","Grade","Grade 03","61","0.937422166874222","0.180327868852459"
"2023-2024",103,"Banksville K-5","Grade","Grade 04","54","0.961489971346705","0.0555555555555556"
"2023-2024",103,"Banksville K-5","Grade","Grade 05","44","0.948636300706078","0.0909090909090909"
"2023-2024",103,"Banksville K-5","Grade","Grade K","72","0.912591866731994","0.305555555555556"
"2023-2024",103,"Banksville K-5","Has 504 Plan","No","n<11","n<11","n<11"
"2023-2024",103,"Banksville K-5","Has 504 Plan","Yes","n<11","n<11","n<11"
"2023-2024",103,"Banksville K-5","Homelessness Status","Experiencing Homelessness","n<11","n<11","n<11"
"2023-2024",103,"Banksville K-5","Homelessness Status","Not Experiencing Homelessness","n<11","n<11","n<11"
"2023-2024",103,"Banksville K-5","IEP Status","Gifted","n<11","n<11","n<11"
"2023-2024",103,"Banksville K-5","IEP Status","IEP","n<11","n<11","n<11"
"2023-2024",103,"Banksville K-5","IEP Status","Not IEP or Gifted","293","0.938093412417402","0.177474402730375"
"2023-2024",103,"Banksville K-5","Race","African American","54","0.942957917781562","0.166666666666667"
"2023-2024",103,"Banksville K-5","Race","Asian (not Pacific Islander)","116","0.950771577773866","0.120689655172414"
"2023-2024",103,"Banksville K-5","Race","Hispanic","74","0.930764325407671","0.216216216216216"
"2023-2024",103,"Banksville K-5","Race","Multi-Racial","12","0.909900471451021","0.333333333333333"
"2023-2024",103,"Banksville K-5","Race","White","99","0.927599611273081","0.181818181818182"
"2023-2024",103,"Banksville K-5",,"Total","355","0.937160120845921","0.171830985915493"
"2023-2024",105,"Beechwood PreK-5","Economically Disadvantaged","Econ. Disadv.","252","0.941042862376358","0.186507936507937"
"2023-2024",105,"Beechwood PreK-5","Economically Disadvantaged","Not Econ. Disadv.","99","0.947809098520793","0.121212121212121"
"2023-2024",105,"Beechwood PreK-5","ELL Status","ELL","165","0.954761339349323","0.0909090909090909"
"2023-2024",105,"Beechwood PreK-5","ELL Status","Not in ELL","186","0.932724667621872","0.236559139784946"
"2023-2024",105,"Beechwood PreK-5","Foster Care Status","In Foster Care","n<11","n<11","n<11"
"2023-2024",105,"Beechwood PreK-5","Foster Care Status","Not In Foster Care","n<11","n<11","n<11"
"2023-2024",105,"Beechwood PreK-5","Gender","Female","173","0.943301027260518","0.161849710982659"
"2023-2024",105,"Beechwood PreK-5","Gender","Male","178","0.942296595499134","0.174157303370787"
"2023-2024",105,"Beechwood PreK-5","Grade","Grade 01","56","0.931550052563953","0.214285714285714"
"2023-2024",105,"Beechwood PreK-5","Grade","Grade 02","56","0.943389980136835","0.160714285714286"
"2023-2024",105,"Beechwood PreK-5","Grade","Grade 03","52","0.946317427385892","0.211538461538462"
"2023-2024",105,"Beechwood PreK-5","Grade","Grade 04","66","0.945124716553288","0.106060606060606"
"2023-2024",105,"Beechwood PreK-5","Grade","Grade 05","57","0.946091322017691","0.228070175438596"
"2023-2024",105,"Beechwood PreK-5","Grade","Grade K","64","0.943796796512179","0.109375"
"2023-2024",105,"Beechwood PreK-5","Has 504 Plan","No","n<11","n<11","n<11"
"2023-2024",105,"Beechwood PreK-5","Has 504 Plan","Yes","n<11","n<11","n<11"
"2023-2024",105,"Beechwood PreK-5","Homelessness Status","Experiencing Homelessness","18","0.88376753507014","0.611111111111111"
"2023-2024",105,"Beechwood PreK-5","Homelessness Status","Not Experiencing Homelessness","333","0.945008539629511","0.144144144144144"
"2023-2024",105,"Beechwood PreK-5","IEP Status","Gifted","n<11","n<11","n<11"
"2023-2024",105,"Beechwood PreK-5","IEP Status","IEP","n<11","n<11","n<11"
"2023-2024",105,"Beechwood PreK-5","IEP Status","Not IEP or Gifted","258","0.945956122295296","0.147286821705426"
"2023-2024",105,"Beechwood PreK-5","Race","African American","79","0.941762639875847","0.291139240506329"
"2023-2024",105,"Beechwood PreK-5","Race","Asian (not Pacific Islander)","n<11","n<11","n<11"
"2023-2024",105,"Beechwood PreK-5","Race","Hispanic","135","0.946704758151906","0.103703703703704"
"2023-2024",105,"Beechwood PreK-5","Race","Multi-Racial","31","0.936076414401176","0.193548387096774"
"2023-2024",105,"Beechwood PreK-5","Race","Native Hawaiian or other Pacific Islander","n<11","n<11","n<11"
"2023-2024",105,"Beechwood PreK-5","Race","White","91","0.942314127015994","0.153846153846154"
"2023-2024",105,"Beechwood PreK-5",,"Total","351","0.942797185086021","0.168091168091168"
"2023-2024",329,"Brashear High School","Economically Disadvantaged","Econ. Disadv.","848","0.845732750427675","0.543632075471698"
"2023-2024",329,"Brashear High School","Economically Disadvantaged","Not Econ. Disadv.","227","0.887511128068167","0.449339207048458"
"2023-2024",329,"Brashear High School","ELL Status","ELL","281","0.890390200782927","0.427046263345196"
"2023-2024",329,"Brashear High School","ELL Status","Not in ELL","794","0.84205151480767","0.557934508816121"
"2023-2024",329,"Brashear High School","Foster Care Status","In Foster Care","20","0.781197301854975","0.7"
"2023-2024",329,"Brashear High School","Foster Care Status","Not In Foster Care","1055","0.85486753214408","0.520379146919431"
"2023-2024",329,"Brashear High School","Gender","Female","483","0.85111994806038","0.563146997929607"
"2023-2024",329,"Brashear High School","Gender","Male","592","0.856016620809703","0.491554054054054"
"2023-2024",329,"Brashear High School","Grade","Grade 09","306","0.87324167708215","0.477124183006536"
"2023-2024",329,"Brashear High School","Grade","Grade 10","261","0.84997401826145","0.501915708812261"
"2023-2024",329,"Brashear High School","Grade","Grade 11","267","0.842841204908888","0.595505617977528"
"2023-2024",329,"Brashear High School","Grade","Grade 12","241","0.847007115948095","0.526970954356846"
"2023-2024",329,"Brashear High School","Has 504 Plan","No","1057","0.854052062715029","0.522232734153264"
"2023-2024",329,"Brashear High School","Has 504 Plan","Yes","18","0.839235127478754","0.611111111111111"
"2023-2024",329,"Brashear High School","Homelessness Status","Experiencing Homelessness","39","0.863054532702087","0.461538461538462"
"2023-2024",329,"Brashear High School","Homelessness Status","Not Experiencing Homelessness","1036","0.853459567379224","0.526061776061776"
"2023-2024",329,"Brashear High School","IEP Status","Gifted","18","0.912962962962963","0.333333333333333"
"2023-2024",329,"Brashear High School","IEP Status","IEP","245","0.80683384582759","0.595918367346939"
"2023-2024",329,"Brashear High School","IEP Status","Not IEP or Gifted","812","0.866743707637711","0.50615763546798"
"2023-2024",329,"Brashear High School","Race","African American","478","0.841352707049779","0.54602510460251"
"2023-2024",329,"Brashear High School","Race","Asian (not Pacific Islander)","93","0.922320839140321","0.268817204301075"
"2023-2024",329,"Brashear High School","Race","Hispanic","157","0.86064291143202","0.522292993630573"
"2023-2024",329,"Brashear High School","Race","Multi-Racial","83","0.823014383989994","0.63855421686747"
"2023-2024",329,"Brashear High School","Race","White","264","0.859165625535876","0.537878787878788"
"2023-2024",329,"Brashear High School",,"Total","1075","0.853795320812139","0.523720930232558"
"2023-2024",110,"Brookline PreK-8","Economically Disadvantaged","Econ. Disadv.","275","0.902527708415473","0.356363636363636"
"2023-2024",110,"Brookline PreK-8","Economically Disadvantaged","Not Econ. Disadv.","124","0.941043188754277","0.120967741935484"
"2023-2024",110,"Brookline PreK-8","ELL Status","ELL","n<11","n<11","n<11"
"2023-2024",110,"Brookline PreK-8","ELL Status","Not in ELL","n<11","n<11","n<11"
"2023-2024",110,"Brookline PreK-8","Foster Care Status","Not In Foster Care","399","0.914907847800238","0.283208020050125"
"2023-2024",110,"Brookline PreK-8","Gender","Female","196","0.910054844606947","0.295918367346939"
"2023-2024",110,"Brookline PreK-8","Gender","Male","203","0.91952988972722","0.270935960591133"
"2023-2024",110,"Brookline PreK-8","Grade","Grade 01","49","0.932932364956877","0.204081632653061"
"2023-2024",110,"Brookline PreK-8","Grade","Grade 02","40","0.919238837278993","0.275"
"2023-2024",110,"Brookline PreK-8","Grade","Grade 03","36","0.918518518518519","0.333333333333333"
"2023-2024",110,"Brookline PreK-8","Grade","Grade 04","47","0.923146240988671","0.191489361702128"
"2023-2024",110,"Brookline PreK-8","Grade","Grade 05","53","0.907362099644128","0.320754716981132"
"2023-2024",110,"Brookline PreK-8","Grade","Grade 06","39","0.908130454754249","0.333333333333333"
"2023-2024",110,"Brookline PreK-8","Grade","Grade 07","50","0.880663920523383","0.44"
"2023-2024",110,"Brookline PreK-8","Grade","Grade 08","44","0.934950385887541","0.159090909090909"
"2023-2024",110,"Brookline PreK-8","Grade","Grade K","41","0.91124871001032","0.292682926829268"
"2023-2024",110,"Brookline PreK-8","Has 504 Plan","No","n<11","n<11","n<11"
"2023-2024",110,"Brookline PreK-8","Has 504 Plan","Yes","n<11","n<11","n<11"
"2023-2024",110,"Brookline PreK-8","Homelessness Status","Experiencing Homelessness","15","0.874898785425101","0.533333333333333"
"2023-2024",110,"Brookline PreK-8","Homelessness Status","Not Experiencing Homelessness","384","0.916432649282518","0.2734375"
"2023-2024",110,"Brookline PreK-8","IEP Status","Gifted","17","0.949324324324324","0.117647058823529"
"2023-2024",110,"Brookline PreK-8","IEP Status","IEP","99","0.91015923379752","0.343434343434343"
"2023-2024",110,"Brookline PreK-8","IEP Status","Not IEP or Gifted","283","0.914462696348914","0.27208480565371"
"2023-2024",110,"Brookline PreK-8","Race","African American","85","0.88845183316016","0.411764705882353"
"2023-2024",110,"Brookline PreK-8","Race","Asian (not Pacific Islander)","n<11","n<11","n<11"
"2023-2024",110,"Brookline PreK-8","Race","Hispanic","n<11","n<11","n<11"
"2023-2024",110,"Brookline PreK-8","Race","Multi-Racial","46","0.893316519546028","0.369565217391304"
"2023-2024",110,"Brookline PreK-8","Race","White","243","0.92678749821607","0.230452674897119"
"2023-2024",110,"Brookline PreK-8",,"Total","399","0.914907847800238","0.283208020050125"
"2023-2024",304,"CAPA 6-12","Economically Disadvantaged","Econ. Disadv.","299","0.920454972033485","0.217391304347826"
"2023-2024",304,"CAPA 6-12","Economically Disadvantaged","Not Econ. Disadv.","537","0.942444684578826","0.106145251396648"
"2023-2024",304,"CAPA 6-12","ELL Status","ELL","n<11","n<11","n<11"
"2023-2024",304,"CAPA 6-12","ELL Status","Not in ELL","n<11","n<11","n<11"
"2023-2024",304,"CAPA 6-12","Foster Care Status","In Foster Care","n<11","n<11","n<11"
"2023-2024",304,"CAPA 6-12","Foster Care Status","Not In Foster Care","n<11","n<11","n<11"
"2023-2024",304,"CAPA 6-12","Gender","Female","584","0.932261213286815","0.150684931506849"
"2023-2024",304,"CAPA 6-12","Gender","Male","252","0.9398324616612","0.134920634920635"
"2023-2024",304,"CAPA 6-12","Grade","Grade 06","105","0.957033329783836","0.0571428571428571"
"2023-2024",304,"CAPA 6-12","Grade","Grade 07","125","0.953012318029115","0.064"
"2023-2024",304,"CAPA 6-12","Grade","Grade 08","89","0.944668769716088","0.0898876404494382"
